gvkey,adate,qdate,public_date,TICKER
031214,2023-01-31,2023-01-31,2023-05-31,MIND
031214,2023-01-31,2023-04-30,2023-06-30,MIND
031214,2023-01-31,2023-04-30,2023-07-31,MIND
031214,2023-01-31,2023-04-30,2023-08-31,MIND
031214,2023-01-31,2023-07-31,2023-09-30,MIND
031214,2023-01-31,2023-07-31,2023-10-31,MIND
031214,2023-01-31,2023-07-31,2023-11-30,MIND
031214,2023-01-31,2023-10-31,2023-12-31,MIND
031236,2021-12-31,2022-09-30,2023-01-31,APPN
031236,2022-12-31,2022-12-31,2023-02-28,APPN
031236,2022-12-31,2022-12-31,2023-03-31,APPN
031236,2022-12-31,2022-12-31,2023-04-30,APPN
031236,2022-12-31,2023-03-31,2023-05-31,APPN
031236,2022-12-31,2023-03-31,2023-06-30,APPN
031236,2022-12-31,2023-03-31,2023-07-31,APPN
031236,2022-12-31,2023-06-30,2023-08-31,APPN
031236,2022-12-31,2023-06-30,2023-09-30,APPN
031236,2022-12-31,2023-06-30,2023-10-31,APPN
031236,2022-12-31,2023-09-30,2023-11-30,APPN
031236,2022-12-31,2023-09-30,2023-12-31,APPN
031249,2021-12-31,2022-09-30,2023-01-31,ALT
031249,2022-12-31,2022-12-31,2023-02-28,ALT
031249,2022-12-31,2022-12-31,2023-03-31,ALT
031249,2022-12-31,2022-12-31,2023-04-30,ALT
031249,2022-12-31,2023-03-31,2023-05-31,ALT
031249,2022-12-31,2023-03-31,2023-06-30,ALT
031249,2022-12-31,2023-03-31,2023-07-31,ALT
031249,2022-12-31,2023-06-30,2023-08-31,ALT
031249,2022-12-31,2023-06-30,2023-09-30,ALT
031249,2022-12-31,2023-06-30,2023-10-31,ALT
031249,2022-12-31,2023-09-30,2023-11-30,ALT
031249,2022-12-31,2023-09-30,2023-12-31,ALT
031252,2021-12-31,2022-09-30,2023-01-31,MGY
031252,2022-12-31,2022-12-31,2023-02-28,MGY
031252,2022-12-31,2022-12-31,2023-03-31,MGY
031252,2022-12-31,2022-12-31,2023-04-30,MGY
031252,2022-12-31,2023-03-31,2023-05-31,MGY
031252,2022-12-31,2023-03-31,2023-06-30,MGY
031252,2022-12-31,2023-03-31,2023-07-31,MGY
031252,2022-12-31,2023-06-30,2023-08-31,MGY
031252,2022-12-31,2023-06-30,2023-09-30,MGY
031252,2022-12-31,2023-06-30,2023-10-31,MGY
031252,2022-12-31,2023-09-30,2023-11-30,MGY
